IE_XML_ID;IE_NAME;ID;Группа 1 уровня;Группа 2 уровня;
St.Petersburg9;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg10;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg11;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg12;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg13;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg14;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg15;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg16;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg17;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg18;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg19;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg20;Санкт-Петербург;;Россия;Ленинградская область;
St.Petersburg21;Санкт-Петербург;;Россия;Ленинградская область;
Saransk;Саранск;;Россия;Республика Мордовия;
Saratov;Саратов;;Россия;Саратовская область;
Serov;Cеров;;Россия;Свердловская область;
Sochi;Сочи;;Россия;Краснодарский край;
Stavropol;Ставрополь;;Россия;Ставропольский край;
StariyOskol;Старый Оскол;;Россия;Белгородская область;
Sterlitamak;Стерлитамак;;Россия;Башкортастан;
Surgut;Сургут;;Россия;Ханты-Мансийский автономный округ;
Syzran;Сызрань;;Россия;Самарская область;
Tambov;Тамбов;;Россия;Тамбовская область;
Tikhoretsk;Тихорецк;;Россия;Краснодарский край;
Tikhoretsk2;Тихорецк;;Россия;Краснодарский край;
Tobolsk;Тобольск;;Россия;Тюменская область;
Tolyatti;Тольятти;;Россия;Самарская область;
Tomsk;Томск;;Россия;Томская область;
Tula;Тула;;Россия;Тульская область;
Tyumen;Тюмень;;Россия;Тюменская область;
Ulyanovsk;Ульяновск;;Россия;Ульяновская область;
Ufa;Уфа;;Россия;Башкортастан;
Ufa2;Уфа;;Россия;Башкортастан;
Cheboksary;Чебоксары;;Россия;Чувашская республика;
Chelyabinsk;Челябинск;;Россия;Челябинская область;
Chelyabinsk2;Челябинск;;Россия;Челябинская область;
Chelyabinsk3;Челябинск;;Россия;Челябинская область;
Chelyabinsk4;Челябинск;;Россия;Челябинская область;
Cherepovets;Череповец;;Россия;Вологодская область;
Shakhty;Шахты;;Россия;Ростовская область;
Shakhty2;Шахты;;Россия;Ростовская область;
Engels;Энгельс;;Россия;Саратовская область;
Yaroslavl;Ярославль;;Россия;Ярославская область;
